Ia,Ib,Ic,Va,Vb,Vc,Fault_Type
56.19991801,-488.5100811,434.8485845,0.267754612,0.034817246,-0.302571858,LL
-734.0087575,-29.83662561,-41.57840776,-0.036775806,0.374464914,-0.337689108,LLG
669.085316,-842.8713173,173.7999112,-0.009486737,-0.030992586,0.040479323,LLLG
592.7925459,270.7626518,-863.5557037,0.041027427,-0.029649656,-0.011377771,LLLG
361.4751278,518.65782,-878.0862801,0.042253708,-0.018837727,-0.023415982,LLL
848.2669043,62.87742548,-11.132664,-0.154262661,-0.056247903,0.210510564,LG
-397.6202251,-483.3176358,883.0248479,-0.042369807,0.020661557,0.021708251,LLL
44.11913844,37.70838326,-84.98158589,-0.238595179,0.61934587,-0.380750691,Normal
665.5422393,-835.9263106,172.3762097,-0.00994505,-0.030667097,0.040612147,LLL
-463.748008,-68.09741282,41.4339668,0.352243221,-0.371984345,0.019741124,LG
360.790888,517.9015317,-878.6946834,0.0422464,-0.018822726,-0.023423674,LLLG
-1.612790202,646.653984,-642.4514119,0.399943951,0.021351339,-0.42129529,LL
716.9376761,54.49826983,22.73862611,0.054154944,-0.380265788,0.326110844,LLLG
706.6234244,-816.0032625,-22.00210022,-0.006010967,-0.101105386,0.107116354,LLG
40.69835854,-24.43239939,-19.5692443,0.457427694,0.114528605,-0.571956299,Normal
-48.56653704,98.11226254,-52.9176469,-0.557308109,0.059757537,0.497550572,Normal
743.6439949,-793.2151934,49.58214935,-0.003689829,-0.03472974,0.038419569,LLLG
53.70700034,-617.4603092,566.4629915,0.207259787,0.026054265,-0.233314052,LL
-33.12954743,94.60424881,-64.48426037,-0.607437893,0.215689437,0.391748456,Normal
-7.577992729,685.5715014,-675.4131587,0.369561331,0.017813374,-0.387374706,LL
-148.804393,-680.0862087,828.8883382,-0.040320953,0.008888228,0.031432725,LLLG
25.99181504,-28.57634781,-0.725107648,0.551976446,-0.075004283,-0.476972163,Normal
405.7893873,-18.01864378,45.07422589,0.308212343,-0.601040801,0.292828458,LG
-871.8704732,-46.4905495,-7.567120371,0.014486444,0.274387689,-0.288874132,LG
-417.6787899,16.94320667,-44.72940227,-0.30459096,0.599761815,-0.295170855,LG
3.076858276,609.9715452,-610.3551419,0.422403689,0.024151965,-0.446555654,LL
12.99905666,525.2974629,-535.6882259,0.459722838,0.029303231,-0.489026069,LL
-721.5837431,-70.1753505,26.96229686,0.26380393,-0.151437961,-0.112365969,LG
-30.84162448,779.9367745,-749.0974138,0.036782631,-0.000216107,-0.036566524,LLLG
844.540124,-195.8030821,-648.7355386,0.029982413,-0.040948396,0.010965984,LLLG
38.30633046,-750.1348253,714.3550349,-0.034575871,0.013981023,0.020594848,LL
-787.0506463,81.87922092,-36.22130264,-0.033852099,0.36656043,-0.332708331,LLG
-748.3322626,196.8029241,552.0519595,-0.014435475,0.031855261,-0.017419786,LLLG
-31.76893358,-463.23271,497.4519834,-0.483631345,-0.032320088,0.515951433,LL
-15.83861703,-16.18850701,28.70345898,0.559987552,-0.434381804,-0.125605748,Normal
10.93061796,759.322752,-770.2550073,0.037742773,-0.002222076,-0.035520697,LLLG
441.1863708,-883.0754667,443.8852588,-0.022747393,-0.019559177,0.042306569,LLL
28.78084634,57.25678978,-88.95184659,-0.421862789,0.609588838,-0.187726049,Normal
752.4593925,26.77285111,-777.1780882,0.036416931,-0.03688971,0.00047278,LLL
-695.9883165,-70.24364915,-37.16305637,-0.016930522,0.35857609,-0.341645569,LLG
-70.87296991,54.75714638,12.89250556,-0.030247257,-0.496208451,0.526455708,Normal
50.77888798,-19.50060025,-34.21668356,0.334035859,0.275528962,-0.609564822,Normal
21.05422274,67.97228876,-92.29443225,-0.476092119,0.590648749,-0.11455663,Normal
353.8081058,-878.3149062,524.5045401,-0.02653935,-0.015305094,0.041844444,LLLG
54.82892976,-6.382299584,-51.49519615,0.190119781,0.411849421,-0.601969202,Normal
44.73143046,-709.5261145,667.3497116,0.044657396,0.020064248,-0.064721644,LL
-61.80014161,29.89365563,28.81187097,0.194432902,-0.57754482,0.383111918,Normal
869.835318,58.92123414,-5.732235715,-0.114810842,-0.122110987,0.236921829,LG
-230.1079065,-623.9567508,854.0623938,-0.041370388,0.012747055,0.028623333,LLLG
843.0966883,63.85601929,-12.66789479,-0.165087598,-0.037270009,0.202357608,LG
120.5053959,-153.2668202,34.89522107,0.041306378,-0.528009342,0.486702964,LLL
-68.84200984,77.25132262,-11.4027186,-0.302440282,-0.297340521,0.599780804,Normal
-883.3712492,426.7306219,456.6384267,-0.020396601,0.042387991,-0.02199139,LLLG
505.5384474,374.612306,-880.1530171,0.041988721,-0.025594126,-0.016394596,LLLG
596.99834,-862.8636778,265.8630745,-0.014410781,-0.027264327,0.041675108,LLLG
-31.9780167,779.7288147,-745.1226753,0.21075139,0.001740624,-0.212492014,LL
857.088846,61.81782346,-9.605413124,-0.143087194,-0.075170243,0.218257437,LG
-9.589435982,89.60349031,-83.27194076,-0.607563601,0.421510909,0.186052692,Normal
-62.93996887,43.72630721,-49.89689811,-0.372983678,0.582074319,-0.209090641,LG
286.5347198,61.598669,-46.89645534,-0.376998625,0.473361332,-0.096362707,LG
583.2408466,-881.7683497,-33.12754727,-0.014471722,-0.019891213,0.034362934,LLG
-0.651255025,84.72709524,-87.33654567,-0.584669245,0.481492877,0.103176369,Normal
53.35245368,-585.1099194,534.364241,0.190338504,0.03014822,-0.220486724,LL
804.0755129,28.73925243,21.74492414,0.098658095,-0.421106605,0.322448511,LG
722.6654824,16.10699093,29.78101021,0.166173628,-0.495283143,0.329109515,LG
-540.4068943,-0.171898454,-38.91582684,-0.239215128,0.563080525,-0.323865398,LG
-43.39646435,97.41693172,-57.26710202,-0.579657606,0.115712385,0.463945221,Normal
883.2694037,-463.1877235,-420.0839434,0.018571575,-0.042209723,0.023638147,LLLG
-566.459833,-313.6545575,880.2758174,-0.036548658,0.027258548,0.00929011,LLLG
423.9368942,-893.1324585,471.3516613,-0.023346005,-0.018886987,0.042232992,LLL
59.22282055,-806.6274539,749.5665399,-0.035119273,-0.001461925,0.036581198,LLL
-249.3844327,858.4443489,-609.061771,0.030424787,0.010317957,-0.040742744,LLLG
-17.2547289,-593.2306908,612.8601908,-0.433791455,-0.024668794,0.458460249,LL
-62.12194063,31.16636116,27.73968745,0.193921133,-0.576792208,0.382871076,Normal
16.67619953,-29.52603232,9.661636187,0.581269624,-0.177206203,-0.40406342,Normal
-292.3124359,-568.697483,-57.44675551,-0.041942321,0.320103692,-0.278161371,LLG
555.6107609,-872.4078171,318.8694535,-0.016876474,-0.025192608,0.042069082,LLL
-68.21846979,45.82642038,18.92228416,0.082471995,-0.544938411,0.462466415,Normal
-29.12515891,92.83929443,-66.61131216,-0.613066835,0.250582014,0.362484821,Normal
-565.801661,-313.6957963,881.6701949,-0.036512668,0.027184675,0.009327993,LLL
870.5568574,-518.9522229,-39.26467013,0.016145511,-0.23603687,0.219891359,LLLG
659.9760689,-847.399243,187.4374445,-0.010098386,-0.030545299,0.040643685,LLLG
858.1907005,-590.1424664,2.834504176,0.012618636,-0.246047971,0.233429335,LLG
-636.658371,848.6791457,-212.0230384,0.011826527,0.029331988,-0.041158515,LLLG
49.98443096,-20.68131475,-32.24207688,0.34947694,0.258174193,-0.607651133,Normal
-402.3085526,211.0689838,193.4288702,0.158729138,-0.016970151,-0.141758986,LLL
29.25729094,-28.23894805,-4.326711269,0.537276211,-0.037253877,-0.500022334,Normal
-67.5031252,43.46089561,20.69677341,0.0924089,-0.549059739,0.456650839,Normal
-494.0250726,-387.6104775,881.6333021,-0.042121655,0.025149854,0.016971801,LLLG
36.0650408,53.393793,-92.49773329,-0.34160413,0.627232152,-0.285628021,Normal
-65.2036023,85.3758446,-23.28624895,-0.390120542,-0.202994438,0.59311498,Normal
-48.67363643,10.37435318,35.2106106,0.360219275,-0.580802512,0.220583237,Normal
51.03455773,26.73189331,-80.34933169,-0.102663754,0.585094409,-0.482430655,Normal
-393.2172171,19.0938761,-45.40414865,-0.311720778,0.602171704,-0.290450926,LG
-797.5936062,-27.71854888,-22.44746511,-0.104413369,0.427897867,-0.323484498,LG
48.36552275,30.43482268,-82.20969302,-0.148907682,0.600070437,-0.451162755,Normal
-59.45625877,702.7244725,-640.8233411,-0.075380042,-0.021768528,0.09714857,LL
-197.2050107,-58.16109934,48.22597968,0.381761812,-0.506855843,0.125094031,LG
-882.7084979,474.4796969,408.2265374,-0.018026006,0.04224733,-0.024221324,LLLG
39.70295721,-29.3012185,-5.64020414,0.552611761,-0.063832224,-0.488779537,Normal
-3.089410461,766.5231686,-763.4360219,0.037422568,-0.001546349,-0.035876219,LLLG
14.1573445,-26.5835838,8.983218029,0.583538415,-0.19352206,-0.390016354,Normal
47.7643506,49.31268807,-50.05320254,-0.379618926,0.560090942,-0.180472016,LG
22.04985346,-29.95698153,4.720769327,0.567731781,-0.122419562,-0.445312219,Normal
51.95430912,19.93363624,-75.04747032,-0.072746106,0.571532073,-0.498785967,Normal
52.41930685,-10.52678207,-45.18756634,0.26749541,0.344468801,-0.61196421,Normal
782.1263979,-746.0859479,-34.05007329,0.000606691,-0.052826393,0.052219703,LLL
-225.8938229,32.52019832,-48.67306954,-0.350281838,0.60330023,-0.253018393,LG
800.8442552,-724.0013212,-76.84519665,0.001929346,-0.037575112,0.035645766,LLLG
-59.94317531,95.09661649,-38.61731685,-0.473954908,-0.091051176,0.565006084,Normal
-4.593368006,666.8481834,-659.6696158,0.38518412,0.019604102,-0.404788223,LL
435.7801259,449.0039857,-882.7362634,0.042312743,-0.022322625,-0.019990118,LLL
881.8178892,-497.3641712,-382.3916512,0.016765707,-0.042040297,0.02527459,LLL
-586.3832911,0.429927387,-38.31399056,-0.242068179,0.563080486,-0.321012307,LG
-730.332279,74.13334463,656.5784558,0.009469629,0.026669714,-0.036139343,LLLG
755.7003014,-774.5095084,20.79924063,-0.002717996,-0.035227441,0.037945436,LLL
-70.9386542,58.43623749,9.627981298,-0.104556657,-0.45454065,0.559097307,Normal
19.0390825,-788.6281841,771.7516315,-0.035335965,0.000255306,0.035080658,LLL
861.1412084,42.15870672,11.41564979,0.015571937,-0.315927558,0.300355621,LG
-54.79281712,21.01979479,30.30834499,0.303986331,-0.584105857,0.280119526,Normal
-48.99481783,11.64461624,34.14048481,0.359708488,-0.580051345,0.220342857,Normal
-63.21427842,84.57206087,-24.24217978,-0.411078987,-0.177620879,0.588699866,Normal
-51.32731356,758.9906419,-705.1877752,0.027488826,-0.013950016,-0.01353881,LL
-48.89954224,13.4013181,32.0355253,0.366078484,-0.577058722,0.210980239,Normal
765.4417237,68.98947801,-22.88736946,-0.236528314,0.095553884,0.14097443,LG
-670.7023217,-40.46408501,15.5431089,0.101782601,0.177420906,-0.279203507,LG
294.6632829,-323.0615657,30.53860596,0.037998821,-0.536857054,0.498858233,LLL
-390.7131895,882.1792577,-489.3506095,0.024913882,0.01721564,-0.042129522,LLL
653.2084952,-631.9116683,-19.19321052,0.021507124,-0.404377043,0.382869918,LLL
471.1590514,411.4140159,-882.5739576,0.042225749,-0.02400271,-0.018223039,LLLG
212.5226048,-33.50394576,48.84158612,0.352666805,-0.602342208,0.249675403,LG
835.7364533,-660.5002956,-3.515494114,0.008121084,-0.213288581,0.205167497,LLG
-10.21437999,-21.57734916,28.71549838,0.574483168,-0.403121852,-0.171361316,Normal
857.9655926,61.27569513,-8.827507386,-0.137590776,-0.084604806,0.222195582,LG
56.17329855,-299.8428919,246.3413967,0.375702757,0.040169802,-0.415872559,LL
-66.17979322,-730.1812674,796.3587972,-0.038913869,0.004950902,0.033962967,LLLG
-601.8375231,-257.8407718,861.7688952,-0.04086292,0.030161983,0.010700938,LLL
43.01057144,-105.7343829,65.56997745,0.511216839,0.003798127,-0.515014966,LL
-21.74516396,-12.40360428,30.82318614,0.539175001,-0.470004809,-0.069170192,Normal
-19.67627468,745.0575949,-722.7261065,0.299028409,0.010288959,-0.309317367,LL
882.3565392,-389.5474116,-490.7488435,0.022077422,-0.042311934,0.020234512,LLL
-48.25119845,-242.7328739,293.3196781,-0.508573586,-0.039014743,0.547588329,LL
14.31802887,76.34609042,-93.92757257,-0.517381809,0.566368127,-0.048986318,Normal
-219.8097404,-647.311497,869.2875114,-0.03839335,0.011307644,0.027085705,LLL
835.8504771,-219.5481677,28.73259798,0.029442583,-0.348562697,0.319120114,LLG
37.08328688,-24.67807576,-15.83928639,0.485291649,0.068088469,-0.553380118,Normal
643.9698611,70.78608658,-32.61419455,-0.300240271,0.23259217,0.0676481,LG
368.3544265,-21.22560535,46.03395546,0.318548274,-0.603987255,0.285438981,LG
636.3127913,5.127316641,35.68563978,0.218087349,-0.543787422,0.325700073,LG
845.1218685,37.56706268,15.19413792,0.045529245,-0.355519714,0.309990469,LG
642.6795808,205.3263794,-845.9543695,0.040038787,-0.031913092,-0.008125695,LLL
-671.109555,373.7646487,299.5333537,-0.125404275,0.054171872,0.071232403,LLL
-43.22579205,7.028604042,32.73631937,0.415515134,-0.563141293,0.147626159,Normal
-71.23756813,59.61844074,8.632043733,-0.105032034,-0.453841557,0.558873591,Normal
237.4830047,-38.87038745,46.01549102,0.351408257,-0.607809286,0.256401029,LLG
-855.8367761,616.4848752,241.4562076,-0.009867897,0.040627397,-0.0307595,LLL
-739.5014541,788.4721733,-46.94167694,0.004004531,0.034531484,-0.038536015,LLL
-659.8364571,191.0668686,-9.82765108,0.074798479,0.229972236,-0.304770714,LLG
131.6160373,-39.22181374,49.60233097,0.365107892,-0.59348447,0.228376577,LG
